supplier_id,country,shipment_count,total_shipment_volume,average_delay,average_reliability,total_freight_cost,total_revenue_impact
SUP033,UAE,23,212861,10.2608695652173913,0.94000000000000000000,6014702.1375,17058543.62
SUP024,Qatar,19,183505,10.1052631578947368,0.89000000000000000000,4903009.7865,14103806.76
SUP039,Saudi Arabia,21,182399,10.5238095238095238,0.51000000000000000000,5351153.1255,13576640.84
SUP035,Qatar,23,162923,10.6521739130434783,0.70000000000000000000,4998788.2715,12768168.35
SUP049,India,20,162411,10.9500000000000000,0.91000000000000000000,4903129.4235,14367643.12
SUP032,China,19,154806,8.5263157894736842,0.77000000000000000000,4350334.6320,11500262.83
SUP048,Qatar,16,151475,12.1250000000000000,0.69000000000000000000,3999366.4305,12211773.88
SUP036,Oman,16,148656,11.3750000000000000,0.87000000000000000000,4045363.5600,11669298.72
SUP037,Saudi Arabia,17,147690,12.0000000000000000,0.58000000000000000000,4052274.1560,12004112.71
SUP026,Singapore,19,147322,9.3684210526315789,0.52000000000000000000,4340185.1955,13022942.19
SUP028,Iraq,19,136436,11.4736842105263158,0.51000000000000000000,3872850.9540,11320584.20
SUP045,Germany,15,132208,8.1333333333333333,0.53000000000000000000,3724808.7975,10348810.26
SUP025,Singapore,18,125233,12.0000000000000000,0.61000000000000000000,3837490.9440,11379927.35
SUP019,Germany,15,124989,10.2000000000000000,0.60000000000000000000,3525748.8525,10160218.12
SUP016,Saudi Arabia,16,122098,9.1875000000000000,0.96000000000000000000,3735316.5780,10954617.36
SUP022,Kuwait,15,121440,10.4000000000000000,0.87000000000000000000,3592990.6740,11095399.07
SUP044,Iraq,17,118838,8.7647058823529412,0.94000000000000000000,3393704.0115,10062732.10
SUP012,Singapore,17,115979,12.8235294117647059,0.72000000000000000000,3549253.6170,9665314.19
SUP008,Iraq,15,114944,10.6666666666666667,0.90000000000000000000,3224927.1810,10263351.72
SUP040,Saudi Arabia,13,114816,10.6923076923076923,0.62000000000000000000,3106682.4705,9314389.37
SUP003,UAE,15,113482,11.7333333333333333,0.55000000000000000000,3414769.9635,8469572.67
SUP023,Qatar,16,113186,9.4375000000000000,0.60000000000000000000,3196434.4020,8730036.96
SUP027,Singapore,11,110816,8.2727272727272727,0.65000000000000000000,2795996.7315,7721397.44
SUP004,UAE,11,107778,11.5454545454545455,0.69000000000000000000,2864475.0645,8751895.40
SUP002,Kuwait,16,107363,12.6250000000000000,0.75000000000000000000,3390606.5235,9888507.05
SUP029,Singapore,16,106773,9.1875000000000000,0.95000000000000000000,3181674.7725,9183211.00
SUP007,India,13,105873,8.4615384615384615,0.64000000000000000000,2931860.3370,7993281.20
SUP001,Qatar,16,100632,9.3125000000000000,0.85000000000000000000,3310854.9075,9032260.82
SUP009,Saudi Arabia,14,99976,11.5714285714285714,0.82000000000000000000,2924710.4460,8168537.49
SUP006,Singapore,10,96217,11.3000000000000000,0.86000000000000000000,2634040.8045,6433664.99
SUP041,Kuwait,12,94590,10.6666666666666667,0.51000000000000000000,2684470.3200,7378207.05
SUP030,China,12,93283,11.0000000000000000,0.71000000000000000000,2689001.1120,6444645.63
SUP005,Oman,14,92493,10.3571428571428571,0.74000000000000000000,2757617.0790,8339847.53
SUP017,China,12,90457,13.2500000000000000,0.55000000000000000000,2504205.2910,8480462.99
SUP014,Saudi Arabia,11,88729,11.3636363636363636,0.51000000000000000000,2576818.0620,7137789.48
SUP050,Qatar,10,88654,10.3000000000000000,0.81000000000000000000,2326099.8285,6268310.53
SUP013,China,11,87628,14.2727272727272727,0.82000000000000000000,2469055.6695,7512845.88
SUP042,China,14,86108,9.6428571428571429,0.55000000000000000000,2758868.8470,8922911.75
SUP018,Qatar,9,75855,10.8888888888888889,0.83000000000000000000,2197450.3110,7163451.80
SUP021,Iraq,10,74545,8.5000000000000000,0.82000000000000000000,2076579.0465,5107366.02
SUP011,Saudi Arabia,10,73485,6.1000000000000000,0.87000000000000000000,2037346.9305,6620908.43
SUP020,Iraq,11,72065,9.6363636363636364,0.58000000000000000000,2359145.5860,5658546.65
SUP010,China,8,71716,8.8750000000000000,0.95000000000000000000,2010460.5045,4622732.03
SUP031,Singapore,9,71245,12.1111111111111111,0.81000000000000000000,2025699.9945,5295563.60
SUP015,Saudi Arabia,10,66814,10.4000000000000000,0.82000000000000000000,2068648.1025,5676714.53
SUP038,Germany,7,65633,7.4285714285714286,0.56000000000000000000,1914605.8995,5095871.47
SUP047,UAE,12,62238,8.4166666666666667,0.75000000000000000000,2071033.5030,5269393.31
SUP046,Singapore,9,54521,8.1111111111111111,0.50000000000000000000,1811864.1975,4857333.09
SUP043,UAE,7,40983,11.2857142857142857,0.76000000000000000000,1101841.5450,3509306.49
SUP034,Iraq,8,26816,8.1250000000000000,0.89000000000000000000,1106638.7850,3853288.77
